Date,Close,Market Return,Short MA,Long MA,Signal,Position,Position Change,Trading Cost,Strategy Return,Buy Hold Growth,Strategy Growth
2018-08-27,11691.9501953125,0.011668203138797129,11431.6974609375,11093.08798828125,1,1.0,0.0,0.0,0.011668203138797129,2.2346144564168693,1.3656008835804385
2018-08-28,11738.5,0.003981355027167455,11454.70498046875,11111.503984375,1,1.0,0.0,0.0,0.003981355027167455,2.243511249916706,1.3710378255233857
2018-08-29,11691.900390625,-0.003969809547642367,11473.322509765625,11129.345,1,1.0,0.0,0.0,-0.003969809547642367,2.2346049375365435,1.3655950664734442
2018-08-30,11676.7998046875,-0.0012915424723947133,11489.3375,11148.6719921875,1,1.0,0.0,0.0,-0.0012915424723947133,2.231718850350692,1.363831342445001
2018-08-31,11680.5,0.00031688436681198695,11506.052490234375,11166.84099609375,1,1.0,0.0,0.0,0.00031688436681198695,2.2324260471654878,1.3642635192763901
2018-09-03,11582.349609375,-0.00840292715423141,11522.9349609375,11183.66599609375,1,1.0,0.0,0.0,-0.00840292715423141,2.2136671337139475,1.3527997123047353
2018-09-04,11520.2998046875,-0.00535727264157837,11530.9099609375,11197.635,1,1.0,0.0,0.0,-0.00535727264157837,2.2018079153409404,1.34555239541647
2018-09-05,11476.9501953125,-0.0037628889968090995,11535.402490234375,11211.925,1,1.0,0.0,0.0,-0.0037628889968090995,2.1935227565632167,1.3404892311131273
2018-09-06,11536.900390625,0.005223530144531363,11542.775,11227.28,1,1.0,0.0,0.0,0.005223530144531363,2.20498068880484,1.3474913170202665
2018-09-07,11589.099609375,0.0045245444601755835,11549.72998046875,11245.633984375,1,1.0,0.0,0.0,0.0045245444601755835,2.2149572219651663,1.3535881013938251
2018-09-10,11438.099609375,-0.013029485041085365,11548.099951171875,11262.613984375,1,1.0,0.0,0.0,-0.013029485041085365,2.186097469974927,1.3359515454749231
2018-09-11,11287.5,-0.013166488710376734,11540.999951171874,11274.07798828125,1,1.0,0.0,0.0,-0.013166488710376734,2.157314242316719,1.318361754533817
2018-09-12,11369.900390625,0.0073001453488372725,11541.707470703124,11288.33,1,1.0,0.0,0.0,0.0073001453488372725,2.173062949848748,1.327985986964262
2018-09-14,11515.2001953125,0.012779338401883056,11545.7125,11304.63599609375,1,1.0,0.0,0.0,0.012779338401883056,2.200833256653459,1.344956769284637
2018-09-17,11377.75,-0.011936413868727347,11545.347509765625,11316.79298828125,1,1.0,0.0,0.0,-0.011936413868727347,2.1745632000459847,1.3289028086509092
2018-09-18,11278.900390625,-0.008687975159851424,11535.755029296875,11327.37599609375,1,1.0,0.0,0.0,-0.008687975159851424,2.155670648980458,1.3173573340594933
2018-09-19,11234.349609375,-0.003949922395540484,11519.885009765625,11336.60998046875,1,1.0,0.0,0.0,-0.003949922395540484,2.147155917206641,1.3121538748227621
2018-09-21,11143.099609375,-0.00812241056873042,11498.494970703125,11342.41396484375,1,1.0,0.0,0.0,-0.00812241056873042,2.12971583529201,1.3014960223221013
2018-09-24,10967.400390625,-0.015767535507102526,11467.727490234374,11342.81697265625,1,1.0,0.0,0.0,-0.015767535507102526,2.0961354652390045,1.2809746375777848
2018-09-25,11067.4501953125,0.009122472156029238,11443.24501953125,11345.19998046875,1,1.0,0.0,0.0,0.009122472156029238,2.1152574026559128,1.2926602930416677
2018-09-26,11053.7998046875,-0.0012333817079910325,11411.3375,11345.81197265625,1,1.0,0.0,0.0,-0.0012333817079910325,2.1126484828677845,1.291065949481584
2018-09-27,10977.5498046875,-0.006898080420062014,11373.289990234374,11344.9849609375,1,1.0,0.0,0.0,-0.006898080420062014,2.0980752637336404,1.2821600727344562
