Date,Close,Daily Return,Fast MA,Slow MA,Signal,Position,Position Change,Trading Cost,Strategy Return,Strategy Growth,Buy Hold Growth
2012-06-13,5121.4501953125,0.00108491039205183,5081.8900390625,5089.857001953125,0,0.0,0.0,0.0,0.0,0.9569789306415126,0.9788329964707334
2012-06-14,5054.75,-0.013023693049587504,5082.91005859375,5085.041005859375,0,0.0,0.0,0.0,-0.0,0.9569789306415126,0.9660849759778906
2012-06-15,5139.0498046875,0.016677344020475715,5097.05,5081.46400390625,1,0.0,0.0,0.0,0.0,0.9569789306415126,0.9821967074752869
2012-06-18,5064.25,-0.014555181897492497,5099.07998046875,5075.57900390625,1,1.0,1.0,0.0005,-0.015055181897492498,0.9425714387686368,0.9679006557388659
2012-06-19,5103.85009765625,0.00781953846201322,5096.67001953125,5071.1980078125,1,1.0,0.0,0.0,0.00781953846201322,0.9499419123872833,0.9754691921438238
2012-06-20,5120.5498046875,0.0032719822705840063,5096.48994140625,5068.921005859375,1,1.0,0.0,0.0,0.0032719822705840063,0.9530501054826992,0.9786609100460193
2012-06-21,5165.0,0.008680746601040568,5118.53994140625,5067.34900390625,1,1.0,0.0,0.0,0.008680746601040568,0.9613232919464895,0.9871564174144726
2012-06-22,5146.0498046875,-0.0036689632744433265,5119.93994140625,5065.732998046875,1,1.0,0.0,0.0,-0.0036689632744433265,0.9577962320934709,0.9835345767728478
2012-06-25,5114.64990234375,-0.00610174862962809,5130.019921875,5062.488994140625,1,1.0,0.0,0.0,-0.00610174862962809,0.9519520002468316,0.9775332960168323
2012-06-26,5120.7998046875,0.0012024092481739412,5133.40986328125,5060.755986328125,1,1.0,0.0,0.0,0.0012024092481739412,0.953096636135746,0.9787086910923608
2012-06-27,5141.89990234375,0.004120469157363971,5137.6798828125,5059.06998046875,1,1.0,0.0,0.0,0.004120469157363971,0.9570238414289307,0.9827414300680509
2012-06-28,5149.14990234375,0.0014099846628081725,5134.50986328125,5056.258974609375,1,1.0,0.0,0.0,0.0014099846628081725,0.9583732303672873,0.9841270804119531
2012-06-29,5278.89990234375,0.02519833418346229,5161.0798828125,5055.83697265625,1,1.0,0.0,0.0,0.02519833418346229,0.9825226392985664,1.0089254434631685
2012-07-02,5278.60009765625,-5.679302374472783e-05,5193.869921875,5054.7609765625,1,1.0,0.0,0.0,-5.679302374472783e-05,0.982466838866983,1.0088681435365012
2012-07-03,5287.9501953125,0.0017713214646439823,5227.3,5054.702978515625,1,1.0,0.0,0.0,0.0017713214646439823,0.984207103466969,1.010655173334143
2012-07-04,5302.5498046875,0.0027609203634220147,5259.42998046875,5056.74197265625,1,1.0,0.0,0.0,0.0027609203634220147,0.9869244209007556,1.013445511782599
2012-07-05,5327.2998046875,0.004667565777151328,5295.0599609375,5058.834970703125,1,1.0,0.0,0.0,0.004667565777151328,0.9915309555523869,1.018175835370403
2012-07-06,5316.9501953125,-0.0019427495644028792,5302.67001953125,5061.133974609375,1,1.0,0.0,0.0,-0.0019427495644028792,0.9896046592203955,1.0161977747097515
2012-07-09,5275.14990234375,-0.007861704818224902,5301.97998046875,5062.85697265625,1,1.0,0.0,0.0,-0.007861704818224902,0.9818246795028648,1.0082087277680465
2012-07-10,5345.35009765625,0.013307715726013747,5313.4599609375,5065.95197265625,1,1.0,0.0,0.0,0.013307715726013747,0.9948905232304734,1.0216256829096697
2012-07-11,5306.2998046875,-0.00730546966154233,5314.2099609375,5067.114970703125,1,1.0,0.0,0.0,-0.00730546966154233,0.9876223806964572,1.0141622274777207
2012-07-12,5235.25,-0.013389707951430796,5295.8,5067.03697265625,1,1.0,0.0,0.0,-0.013389707951430796,0.9743984054526349,1.0005828914364214
2012-07-13,5227.25,-0.001528102764910888,5277.8599609375,5067.813974609375,1,1.0,0.0,0.0,-0.001528102764910888,0.972909424555138,0.9990538979534949
2012-07-16,5197.25,-0.005739155387632144,5262.27998046875,5070.02197265625,1,1.0,0.0,0.0,-0.005739155387632144,0.9673257461895243,0.9933201723925201
2012-07-17,5192.85009765625,-0.0008465827781518609,5231.77998046875,5071.5959765625,1,1.0,0.0,0.0,-0.0008465827781518609,0.9665068248719373,0.9924792446413818
2012-07-18,5216.2998046875,0.004515768140858523,5213.77998046875,5075.92296875,1,1.0,0.0,0.0,0.004515768140858523,0.9708713455996163,0.9969610507947967
2012-07-19,5242.7001953125,0.005061133679715946,5215.27001953125,5081.2809765625,1,1.0,0.0,0.0,0.005061133679715946,0.9757850552655016,1.0020068039463392
2012-07-20,5205.10009765625,-0.007171895446142051,5210.8400390625,5086.068974609375,1,1.0,0.0,0.0,-0.007171895446142051,0.9687868268712295,0.9948205159121132
2012-07-23,5117.9501953125,-0.016743175099167007,5194.980078125,5089.84998046875,1,1.0,0.0,0.0,-0.016743175099167007,0.9525662593951582,0.978164061821953
2012-07-24,5128.2001953125,0.0020027549329002525,5182.05009765625,5094.25798828125,1,1.0,0.0,0.0,0.0020027549329002525,0.9544740161700761,0.9801230847219528
2012-07-25,5109.60009765625,-0.003627022531852764,5160.71015625,5097.593994140625,1,1.0,0.0,0.0,-0.003627022531852764,0.9510121174073592,0.9765681562096772
2012-07-26,5043.0,-0.013034307261501565,5120.7701171875,5101.288994140625,1,1.0,0.0,0.0,-0.013034307261501565,0.9386163332596605,0.9638392667998422
2012-07-27,5099.85009765625,0.01127307111962117,5099.7201171875,5105.8819921875,0,1.0,0.0,0.0,0.01127307111962117,0.9491974219385347,0.9747046954023604
2012-07-30,5199.7998046875,0.01959855782372588,5116.0900390625,5112.048984375,1,0.0,1.0,0.0005,-0.0005,0.9487228232275655,0.9938075017362606
2012-07-31,5229.0,0.005615638372495901,5136.25,5119.418984375,1,1.0,1.0,0.0005,0.005115638372495901,0.9535761461069312,0.9993883652778851
2012-08-01,5240.5,0.002199273283610692,5162.42998046875,5127.515986328125,1,1.0,0.0,0.0,0.002199273283610692,0.9556733206489526,1.001586293409592
2012-08-02,5227.75,-0.0024329739528671235,5199.37998046875,5133.64298828125,1,1.0,0.0,0.0,-0.0024329739528671235,0.9533481923523637,0.9991494600461778
2012-08-03,5215.7001953125,-0.0023049695734302933,5222.55,5139.548994140625,1,1.0,0.0,0.0,-0.0023049695734302933,0.9511507537761067,0.9968464509414621
2012-08-06,5282.5498046875,0.012816996159993987,5239.1,5145.4869921875,1,1.0,0.0,0.0,0.012816996159993987,0.9633416493348305,1.0096230280752825
2012-08-07,5336.7001953125,0.010250805506263116,5260.6400390625,5152.418994140625,1,1.0,0.0,0.0,0.010250805506263116,0.9732166772182446,1.0199724773707266
2012-08-08,5338.0,0.00024355962297484268,5280.1400390625,5160.163994140625,1,1.0,0.0,0.0,0.00024355962297484268,0.9734537135052207,1.0202209014827597
2012-08-09,5322.9501953125,-0.0028193714289059812,5299.180078125,5168.137998046875,1,1.0,0.0,0.0,-0.0028193714289059812,0.9707091859180016,1.0173445198219464
2012-08-10,5320.39990234375,-0.0004791126866067197,5320.12001953125,5177.713994140625,1,1.0,0.0,0.0,-0.0004791126866067197,0.9702441068320226,1.01685709715585
2012-08-13,5347.89990234375,0.00516878439680557,5333.1900390625,5187.708994140625,1,1.0,0.0,0.0,0.00516878439680557,0.9752590894325085,1.0221130122534101
