Date,Close,Signal,Position,Position Change,Trading Cost,Strategy Return,Growth,Drawdown,Strategy
2022-07-20,16520.849609375,0.0,0.0,0.0,0.0,0.0,1.273815077733024,-0.1387405720207069,RSI Mean Reversion
2022-07-20,16520.849609375,1.0,1.0,0.0,0.0,0.01103388850696918,3.154390841824447,-0.10587193784519477,Buy and Hold
2022-07-20,16520.849609375,1.0,1.0,0.0,0.0,0.01103388850696918,2.5968638539005715,-0.12492490704918902,MA 5/50
2022-07-21,16605.25,1.0,1.0,0.0,0.0,0.005108719746296009,2.6101305035494358,-0.12045439364233934,MA 5/50
2022-07-21,16605.25,1.0,1.0,0.0,0.0,0.005108719746296009,3.1705057406056105,-0.10130408815834713,Buy and Hold
2022-07-21,16605.25,0.0,0.0,0.0,0.0,0.0,1.4691006280413283,-0.12039819070058366,55/20 Breakout
2022-07-21,16605.25,0.0,0.0,0.0,0.0,0.0,1.273815077733024,-0.1387405720207069,RSI Mean Reversion
2022-07-21,16605.25,0.0,0.0,0.0,0.0,0.0,2.402176464433385,-0.08347904592748612,63-Day Momentum
2022-07-22,16719.44921875,0.0,0.0,0.0,0.0,0.0,1.273815077733024,-0.1387405720207069,RSI Mean Reversion
2022-07-22,16719.44921875,0.0,0.0,0.0,0.0,0.0,2.402176464433385,-0.08347904592748612,63-Day Momentum
2022-07-22,16719.44921875,1.0,0.0,0.0,0.0,0.0,1.4691006280413283,-0.12039819070058366,55/20 Breakout
2022-07-22,16719.44921875,1.0,1.0,0.0,0.0,0.006877295960614926,3.192310246928584,-0.09512349039401746,Buy and Hold
2022-07-22,16719.44921875,1.0,1.0,0.0,0.0,0.006877295960614926,2.628081143518174,-0.11440549819655921,MA 5/50
2022-07-25,16631.0,1.0,1.0,0.0,0.0,-0.005290199311757782,3.175422289457365,-0.09991046748236077,Buy and Hold
2022-07-25,16631.0,0.0,0.0,0.0,0.0,-0.0,1.273815077733024,-0.1387405720207069,RSI Mean Reversion
2022-07-25,16631.0,1.0,1.0,1.0,0.0005,-0.005790199311757782,1.4605942425959406,-0.12549126049141002,55/20 Breakout
2022-07-25,16631.0,1.0,1.0,0.0,0.0,-0.005290199311757782,2.6141780704614908,-0.11909046962049619,MA 5/50
2022-07-25,16631.0,0.0,0.0,0.0,0.0,-0.0,2.402176464433385,-0.08347904592748612,63-Day Momentum
2022-07-26,16483.849609375,0.0,0.0,0.0,0.0,-0.0,1.273815077733024,-0.1387405720207069,RSI Mean Reversion
2022-07-26,16483.849609375,1.0,1.0,0.0,0.0,-0.00884795806776506,1.4476709659834326,-0.1332288771484761,55/20 Breakout
2022-07-26,16483.849609375,1.0,1.0,0.0,0.0,-0.00884795806776506,2.5910479325123763,-0.12688472020678876,MA 5/50
2022-07-26,16483.849609375,0.0,0.0,0.0,0.0,-0.0,2.402176464433385,-0.08347904592748612,63-Day Momentum
2022-07-26,16483.849609375,1.0,1.0,0.0,0.0,-0.00884795806776506,3.1473262861927997,-0.10787442192331109,Buy and Hold
2022-07-27,16641.80078125,0.0,0.0,0.0,0.0,0.0,2.402176464433385,-0.08347904592748612,63-Day Momentum
2022-07-27,16641.80078125,0.0,0.0,0.0,0.0,0.0,1.273815077733024,-0.1387405720207069,RSI Mean Reversion
2022-07-27,16641.80078125,1.0,1.0,0.0,0.0,0.0095821774414373,2.615875813560979,-0.11851837466898008,MA 5/50
2022-07-27,16641.80078125,1.0,1.0,0.0,0.0,0.0095821774414373,3.177484525133199,-0.09932591633413546,Buy and Hold
2022-07-27,16641.80078125,1.0,1.0,0.0,0.0,0.0095821774414373,1.4615428060563027,-0.12492332244819904,55/20 Breakout
2022-07-28,16929.599609375,0.0,0.0,0.0,0.0,0.0,1.273815077733024,-0.1387405720207069,RSI Mean Reversion
2022-07-28,16929.599609375,0.0,0.0,0.0,0.0,0.0,2.402176464433385,-0.08347904592748612,63-Day Momentum
2022-07-28,16929.599609375,1.0,1.0,0.0,0.0,0.017293731123692924,2.661114066533674,-0.10327426845002952,MA 5/50
2022-07-28,16929.599609375,1.0,1.0,0.0,0.0,0.017293731123692924,1.486818334370008,-0.10978998167400367,55/20 Breakout
2022-07-28,16929.599609375,1.0,1.0,0.0,0.0,0.017293731123692924,3.2324350881605475,-0.08374990090113954,Buy and Hold
2022-07-29,17158.25,1.0,1.0,0.0,0.0,0.013505953826479233,3.276092207208335,-0.07137506936920335,Buy and Hold
2022-07-29,17158.25,1.0,0.0,0.0,0.0,0.0,2.402176464433385,-0.08347904592748612,63-Day Momentum
2022-07-29,17158.25,0.0,0.0,0.0,0.0,0.0,1.273815077733024,-0.1387405720207069,RSI Mean Reversion
2022-07-29,17158.25,1.0,1.0,0.0,0.0,0.013505953826479233,1.5068992341423721,-0.09776684627062349,55/20 Breakout
2022-07-29,17158.25,1.0,1.0,0.0,0.0,0.013505953826479233,2.697054950243272,-0.09116313212469984,MA 5/50
2022-08-01,17340.05078125,1.0,1.0,0.0,0.0,0.010595531668439406,1.5228656326988748,-0.08820720631796797,55/20 Breakout
2022-08-01,17340.05078125,1.0,1.0,1.0,0.0005,0.010095531668439406,2.4264277130032523,-0.07422627961085859,63-Day Momentum
2022-08-01,17340.05078125,1.0,1.0,0.0,0.0,0.010595531668439406,2.725631681380096,-0.08153352230968192,MA 5/50
2022-08-01,17340.05078125,0.0,0.0,0.0,0.0,0.0,1.273815077733024,-0.1387405720207069,RSI Mean Reversion
2022-08-01,17340.05078125,1.0,1.0,0.0,0.0,0.010595531668439406,3.3108041459385387,-0.06153579450860236,Buy and Hold
2022-08-02,17345.44921875,0.0,0.0,0.0,0.0,0.0,1.273815077733024,-0.1387405720207069,RSI Mean Reversion
2022-08-02,17345.44921875,1.0,1.0,0.0,0.0,0.000311327663805816,2.427183127074535,-0.07393806064127706,63-Day Momentum
2022-08-02,17345.44921875,1.0,1.0,0.0,0.0,0.000311327663805816,3.3118348908586124,-0.06124362463994126,Buy and Hold
2022-08-02,17345.44921875,1.0,1.0,0.0,0.0,0.000311327663805816,2.726480245923855,-0.08124757828689855,MA 5/50
2022-08-02,17345.44921875,1.0,1.0,0.0,0.0,0.000311327663805816,1.523339742898593,-0.08792333999763591,55/20 Breakout
2022-08-03,17388.150390625,1.0,1.0,0.0,0.0,0.002461808358865669,3.319987993676111,-0.05893258634814147,Buy and Hold
2022-08-03,17388.150390625,1.0,1.0,0.0,0.0,0.002461808358865669,2.7331923177835526,-0.07898578589539718,MA 5/50
2022-08-03,17388.150390625,1.0,1.0,0.0,0.0,0.002461808358865669,2.433158386785265,-0.07165827361813648,63-Day Momentum
2022-08-03,17388.150390625,1.0,1.0,0.0,0.0,0.002461808358865669,1.5270899134110532,-0.08567798205211585,55/20 Breakout
2022-08-03,17388.150390625,0.0,0.0,0.0,0.0,0.0,1.273815077733024,-0.1387405720207069,RSI Mean Reversion
2022-08-04,17382.0,1.0,1.0,0.0,0.0,-0.0003537116074355806,1.5265497639830818,-0.08600138836279791,55/20 Breakout
2022-08-04,17382.0,1.0,1.0,0.0,0.0,-0.0003537116074355806,2.43229775042113,-0.07198663886242451,63-Day Momentum
2022-08-04,17382.0,0.0,0.0,0.0,0.0,-0.0,1.273815077733024,-0.1387405720207069,RSI Mean Reversion
2022-08-04,17382.0,1.0,1.0,0.0,0.0,-0.0003537116074355806,2.7322255559353987,-0.07931155931353917,MA 5/50
2022-08-04,17382.0,1.0,1.0,0.0,0.0,-0.0003537116074355806,3.3188136753862008,-0.05926545281572959,Buy and Hold
